,precision,recall,f1-score,support
0,0.7665964349018427,0.8933665913165485,0.8251408412678414,25658.0
1,0.806695918735349,0.5206377531228179,0.6328421548980313,25778.0
2,0.7096848175086823,0.8453403059631596,0.7715954832045026,25624.0
accuracy,0.7527121723332468,0.7527121723332468,0.7527121723332468,0.7527121723332468
macro avg,0.7609923903819581,0.7531148834675087,0.7431928264567919,77060.0
weighted avg,0.7610861988543184,0.7527121723332468,0.7430084536185297,77060.0
