,precision,recall,f1-score,support
0,0.680317980760308,0.852639250713311,0.7567932117775384,128976.0
1,0.7441683299559673,0.3783327394692404,0.5016355896082287,129098.0
2,0.6438052265463433,0.7977697361268579,0.7125655467080987,128774.0
accuracy,0.6760898337331458,0.6760898337331458,0.6760898337331458,0.6760898337331458
macro avg,0.6894305124208729,0.6762472421031364,0.6569981160312887,386848.0
weighted avg,0.6894715991564536,0.6760898337331458,0.6569201038683193,386848.0
