,precision,recall,f1-score,support
0,0.8811604334148899,0.9186747922094033,0.8995266528243301,128976.0
1,0.8243006159537749,0.6696540612557902,0.738973228023387,129098.0
2,0.752628760093015,0.8620917265907714,0.8036499600039091,128774.0
accuracy,0.8167368061874432,0.8167368061874432,0.8167368061874432,0.8167368061874432
macro avg,0.8193632698205601,0.816806860018655,0.8140499469505421,386848.0
weighted avg,0.8193996735946346,0.8167368061874432,0.8140317006048303,386848.0
